Hand Hardness,Hand Hardness Index,PP_1abcde_N,PP_1abcde_Mean,PP_1abcde_SD,PP_1abcde_SE,GP_1f_N,GP_1f_Mean,GP_1f_SD,GP_1f_SE,DF_2ab_N,DF_2ab_Mean,DF_2ab_SD,DF_2ab_SE,RG_3ab_N,RG_3ab_Mean,RG_3ab_SD,RG_3ab_SE,RGmx_3c_N,RGmx_3c_Mean,RGmx_3c_SD,RGmx_3c_SE,FC_4ab_N,FC_4ab_Mean,FC_4ab_SD,FC_4ab_SE,FCmx_4c_N,FCmx_4c_Mean,FCmx_4c_SD,FCmx_4c_SE,DH_5abc_N,DH_5abc_Mean,DH_5abc_SD,DH_5abc_SE,WG_6ab_N,WG_6ab_Mean,WG_6ab_SD,WG_6ab_SE,MFC_9e_N,MFC_9e_Mean,MFC_9e_SD,MFC_9e_SE,
F-,0.67,89,64,22,2,2,91,32,23,54,81,23,3,,,,,1,81,,,3,125,10,,,,,,,,,,1,45,,,,,,,71.68666667
F,1.0,206,83,29,2,13,133,29,8,352,103,26,1,17,167,40,10,4,155,40,20,46,143,36,5,2,165,16,,7,202,40,15,2,216,141,100,,,,,103.6918336
F+,1.33,24,102,25,5,,,,,84,115,30,3,4,169,13,6,3,160,31,18,7,149,23,9,1,155,,,,,,,1,220,,,,,,,118.4032258
4F-,1.67,6,118,25,10,1,164,,,73,121,28,3,12,147,23,7,3,163,26,15,2,159,11,,1,134,,,,,,,2,189,86,61,,,,,127.88
4F,2.0,31,113,28,5,6,138,37,15,344,135,30,2,91,169,40,4,7,175,18,7,88,215,41,4,13,222,59,16,17,241,30,7,16,231,86,21,,,,,158.1957586
4F+,2.33,5,114,14,,2,157,33,,110,143,31,3,51,174,33,5,3,196,15,9,19,218,42,10,8,208,24,8,6,258,42,17,1,126,,,,,,,163.6878049
1F-,2.67,2,138,29,,2,203,74,53,73,156,31,4,73,185,36,4,5,230,56,25,28,244,39,7,19,222,30,7,5,243,27,12,4,200,70,35,,,,,188.5781991
1F,3.00,6,154,50,20,11,169,45,14,235,169,32,2,451,204,40,2,22,205,23,5,154,255,45,4,60,248,37,5,18,256,56,13,15,266,100,26,3,332,16,,207.9548718
1F+,3.33,,,,,,,,,53,189,36,5,204,219,42,3,21,215,38,8,38,268,40,6,32,252,53,9,2,283,46,33,5,319,17,7,1,284,,,224.4410112
P-,3.67,,,,,,,,,27,215,32,6,256,243,41,3,16,250,29,7,38,282,37,6,68,285,36,4,,,,,3,319,47,27,3,278,27,16,252.7980535
P,4.0,1,178,,,5,267,39,17,40,210,39,6,740,272,47,2,19,266,28,6,122,289,47,4,121,308,44,4,8,297,31,11,8,278,54,19,16,286,42,10,275.8787037
P+,4.33,,,,,,,,,4,237,74,37,266,310,51,3,3,299,12,7,16,331,45,11,49,348,43,6,1,268,,,5,311,68,,8,282,75,26,314.5795455
K-,4.67,,,,,,,,,,,,,46,365,48,7,,,,,5,314,45,20,12,386,32,9,1,320,,,,,,,6,304,68,28,359.0857143
K,5.0,,,,,,,,,,,,,28,377,60,11,,,,,,,,,6,368,49,20,1,270,,,,,,,17,296,64,16,347.4230769
K+,5.33,,,,,,,,,,,,,5,418,38,17,,,,,,,,,2,448,8,6,,,,,,,,,1,276,,,407.75
Mean,,,84.86756757,,,,162.3095238,,,,136.3464458,,,,247.3712121,,,,220.6448598,,,,248.2367491,,,,288.748731,,,,252.7575758,,,,254.2539683,,,,292.3272727,,,